roleplay_id,dataset,title,message,Contextual Alignment,Character Consistency,Descriptive Depth,Role-Specific Knowledge,Engagement and Collaboration,Creativity and Emotional Nuance
2942540,roleplayerguild,Fairy Heart Attack!,"[{'content': 'What dress code does this school have?', 'role': 'user'}
 {'content': "" \n  CirusArvennicus  said \n So, you're all students at Gin'Rom High School, in case you couldn't guess. =P \n   High School Student by day  ROCK STAR BY NIGHT"", 'role': 'assistant'}]",3.5,3.0,2.0,4.0,3.5,3.0
5493642,giantplayground,Lords of Creation - What Shall Be (IC),"[{'content': '  The Moon    Part of the cloud turns into a brighter red as the entity reveals itself. No point in hiding any more really.   \n""Oh, is that so? You are one of the creators then... interesting, and what a fine specimen at that too! So bold and rash, to barge into someone else\'s home and make demands and threats without even properly introducing yourself!"" \n \n""However you give me too much credit. Your Faeli mean nothing to me in the grander scheme of things. It makes no difference to me if ten die... or a hundred die... or if they are all wiped out. So don\'t be arrogant in your thought that I target solely your people... they just happened to be there... so it really isn\'t personal.  However if you feel like placing the blame on me for every misfortune that falls upon your precious Faeli, who am I to stop you?""  \n \n""Do tell me though... suppose I am not intimidated by you, and refuse your demands... what will you do? By any chance... do you intend to kill me?""   Asks the entity with a curious tone in its voice.', 'role': 'user'}
 {'content': ' Artis   Artis shakes her head. ""As much as I hate to admit it, death plays a neccesary role in the cycle of existence. So, I\'d likely just build a prison that\'s beyond your power to escape, allowing the continued existence of death while minimizing your influence over it. Of course, that would be a draining effort, so perhaps an option that involves less violence.""     Gate.  With the casting, Artis attempts to open a path between planes to unveal Asharra\'s realm to the deity of death. ""Abberations from beyond the Material, noted by me only due to their master\'s attempt to steal away my own creations. From what I have seen, they do not create, and they do not die. They are anathema to us both, for what little we have in common."" ', 'role': 'assistant'}]",8.5,7.5,9.5,9.5,9.5,8.5
3942721,roleplayerguild,Night Terrors- A Modern Horror RP,"[{'content': ""  @BenG85  No idea.  I think it's just a 'Thats what she said' mentality where it feels like the more you say it, the funnier it gets but really it's mostly an overly beaten dead horse.  In terms of getting a Discord server, If people are up for it and you'd like some help, I'm happy to help set that up and then hand over the car keys to you.  I think we have a cool group of people. "", 'role': 'user'}
 {'content': ' No worries, I know how to set up a server :P I  have  done it before, as I mentioned earlier ', 'role': 'assistant'}]",1.0,1.0,1.0,1.0,1.0,1.0
4475162,giantplayground,Infinite IC,"[{'content': ' Bladesmith:      Spoiler   \n  Hide  \n \n   OOC: Congrats, your low intimidate check crushed his pathetic will save.  \n \nJimmy gulps nervously. “Listen… I don’t want any trouble, ok? What happened at the shop… the fire… It didn’t come down the normal grapevine, you know?” \n \nHe looks around nervously. “There’s always a bigger dog, someone higher on the food chain. Every two-bit gang knows that. But what happened there… What I heard is that skins and gatos were behind it. That never happens man, they hate each other. What’s weirder is that Verda let it happen. She would kill anybody in her gang if they hung out with a skin. And Verda… she’s been acting weird too, man. Grabbed my boys and I and had us go after this punk kid named Walker… No reason for it…” \n \nHe backs up a little. “Lissen, that’s all I know!” \n    Necron :    Spoiler   \n  Hide  \n \n  \n… \n \nAmazingly, she doesn’t slap the twinkle out of his eyes. \n \nShe coolly turns to stare at Gary. “I wasn’t aware Jack and I were having any difficulties… I’m sorry; I can’t seem to recall your name. Gilligan, perhaps?” She raises an eyebrow.  \n    C_O :     Spoiler   \n  Hide  \n \n Mr. Gordon let’s John in. “It’s… no problem, though I’ve already given my statement to the police. It just seemed to be a random act of violence… except for a couple of things.” \n \nHe sits down in the living room heavily. “They all looked… ill. Like they hadn’t had a decent meal in weeks. Pale skin, sweaty, limp hair, eyes all wide, but didn’t really seem to be looking anywhere. And they were all muttering stuff… None of it made any sense. Just something about some guy being special, leaving a parting gift, and how it would all burn.” \n \nHe sighs. “Obviously, the last part would refer to my shop. The other odd thing is that it wasn’t a single gang, no sir. It was the gatos and the skins, bitter enemies in this part of town. The skins don’t really have a leader in this part of town, they’re trying to muscle in, but the gatos are established, led by this girl named Verda, for her hair. It’s dyed green you see. But they do not mix at all and the fact that they do… means that someone else is muscling in on the leadership.” \n \nHe thoughtfully strokes his mustache. “Or Verda and the gatos and the skins have all just lost their minds  overnight.” \n \n ', 'role': 'user'}
 {'content': '   Spoiler   \n  Hide  \n \n  ""It\'s Gary, and sorry I must have been misinformed. You know how college grapevines are. I heard from a girl named Grace that he was flirting with her? Or was it her sister he was flirting with...""  \nGary places the seeds of doubt as he leans back \n ""Just remember, Ice-queens don\'t last long in college and having a Boyfriend agrees with you. I hope you two are together for a long time.""  \n \nGary stands up and moves seats to sit next to Wendy, letting Danielle stew as the seeds take root. \n ""Phase one complete, now things will go either way. Either she takes my words onboard and starts loving Jack more, forgiving his transgression that is about to become Very public while loosening up. Blaming herself. \nOR she will dump him and be both vulnerable and considering getting a new boyfriend.""  \n ', 'role': 'assistant'}]",7.0,8.5,7.0,9.5,7.5,8.5
3026383,roleplayerguild,Save Me|Save Yourself|Save Us All,"[{'content': ' Oh yeah. Billie would be pissed off enough to do it. And she\'d like throw her out of her seat, and just be all like, ""bitch, this time you have no one to stand between us. And I\'m not letting you bitch out this time. I told you that the next time I wouldn\'t be forgiving.""  I could even see Darden helping her up ', 'role': 'user'}
 {'content': ' I really can see Jackie mouthing off a little bit before Billie kicks her ass too. And be like. ""I\'m not afraid of you, like your little new bloods bitch.""   Well that is nice of him. I could see Jackie helping him up if she is there when Zach kicks his ass. ', 'role': 'assistant'}]",6.0,7.0,4.0,7.5,5.5,7.5
1537101,roleplayerguild,The Legend of Zelda: Whispering Storm [Chapter 1: Hylia],"[{'content': "" Yeah, it'll be interesting to see a Gerudo mage.  Can't do it myself, except in RPs that don't require as much word count I find it hard to RP more than one character. "", 'role': 'user'}
 {'content': ""   @Zardoric  Hm, Barrier Seal, that's actually a very interesting skill, but note it can be weakened by a skilled mage too, and it's maximum cost and as a result durability is 6 hearts with 30 MP. There are rarely any weapons that exceed that damage or reach it. Otherwise, I think he's ready to be added.  @Sho Minazuki     Alright, I will make the change. You saw my book right? If so then I just need to do the personality and theme song. Having trouble with the theme song... "", 'role': 'assistant'}]",7.0,5.5,3.5,6.0,5.5,3.5
4701056,giantplayground,Hell on earth,"[{'content': ""Char grabbing his pack and slinging it over his shoulder as he steps out of the cart, offers his hand to osuma as he passes.  i'd like to thank you again for the assistance, and the tea was fantastic, I must know what you made it with sometime.  Weather osuma shakes his hand or not, he will move on towords the tree following the others."", 'role': 'user'}
 {'content': 'Cyrano pulled a fresh pair of pants on and stripped off the filthy, stinking remnants of his old uniform. I\'ll have to ask for a bath; I must look a fright. He checked some of the purpled welts across his shoulders and arms for any sign of infection, but he couldn\'t see anything wrong, nor did they stink.  The wounds were old, and as a consequence fairly painless. I\'ll have to have one of our healers look at these just to be sure. He pulled on a shirt of clean linen with sleeves only to the elbows, and then his boots.  Seeing the others start to disembark, Cyrano grabbed the gear he hadn\'t donned yet.  A thin jerkin of soft, supple brown leather padded his chain shirt and prevented the rings of the mail shirt from digging into his skin.  The mail itself went under a tunic of green with a soft leather sleeveless doublet keeping everything hidden and in place.  A belt, sash, scabbard and cloak rounded out his pile of goods.  He assembled them into a bundle at the corner of the entrance to the carriage.  The ragged remains of his last outfit he dropped to the ground before he jumped out, but as soon as he hit the ground he gathered them into a small pile.  As he pulled the jerkin on, he called out to Osuma: ""I assume it is okay to leave some of our things here?"" ', 'role': 'assistant'}]",9.0,7.5,9.5,7.5,8.5,9.5
6064283,giantplayground,The Silver Stars of the Eclipsing Moon,"[{'content': ' Lisaa    ""I didn\'t know before that Michelle Ami visited the elven forests. But as you say, there must be members of my race who know about it. Those who are more wise and better versed in historical events than me."" ', 'role': 'user'}
 {'content': 'Karl frowns. Do you know anyone else who might be able to help us, any other scholars of Ami? he asks.', 'role': 'assistant'}]",6.5,8.5,2.5,4.0,2.5,2.5
4785851,giantplayground,The Se7en Swords: Upstarts IC,"[{'content': ""Abadguy:    Spoiler   \n  Hide  \n \n Thank you for the map.  Where is the big dragon (coordinates would be fine, if you don't have time to alter the map), and how big is it? \n "", 'role': 'user'}
 {'content': ""Avania    Spoiler   \n  Hide  \n \n  \nYup there is movement cost but since you double moved over, its ok. You're now at N8 behind Oleg. \n \n    Kali     Spoiler   \n  Hide  \n \n  \n http://i5.photobucket.com/albums/y15...rid2-Small.jpg  \n \nIt is Huge in size. \n \n "", 'role': 'assistant'}]",1.0,1.5,1.5,2.0,1.0,1.0
5850167,giantplayground,A Witch's Tale IC II,"[{'content': ""She looks up at the banner. What's going on here?  ...It's something she can look into later, right now she needs to get to class."", 'role': 'user'}
 {'content': 'When Rachel reaches the classroom building, a fully armored templar...and one that she doesn\'t recognize...looks down at her. ""No classes today. The Knight-Commander\'s...indisposed at the moment.""', 'role': 'assistant'}]",7.0,8.0,2.5,7.5,7.5,3.5
